,"('Adam', 0.001)","('Adam', 0.0031622776601683794)","('Adam', 0.01)","('Adam', 0.03162277660168379)","('Adam', 0.1)","('Adam', 0.31622776601683794)","('SGD', 0.001)","('SGD', 0.0031622776601683794)","('SGD', 0.01)","('SGD', 0.03162277660168379)","('SGD', 0.1)","('SGD', 0.31622776601683794)","('Adagrad', 0.001)","('Adagrad', 0.0031622776601683794)","('Adagrad', 0.01)","('Adagrad', 0.03162277660168379)","('Adagrad', 0.1)","('Adagrad', 0.31622776601683794)","('RMSprop', 0.001)","('RMSprop', 0.0031622776601683794)","('RMSprop', 0.01)","('RMSprop', 0.03162277660168379)","('RMSprop', 0.1)","('RMSprop', 0.31622776601683794)","('Adadelta', 0.001)","('Adadelta', 0.0031622776601683794)","('Adadelta', 0.01)","('Adadelta', 0.03162277660168379)","('Adadelta', 0.1)","('Adadelta', 0.31622776601683794)","('Adamax', 0.001)","('Adamax', 0.0031622776601683794)","('Adamax', 0.01)","('Adamax', 0.03162277660168379)","('Adamax', 0.1)","('Adamax', 0.31622776601683794)","('Nadam', 0.001)","('Nadam', 0.0031622776601683794)","('Nadam', 0.01)","('Nadam', 0.03162277660168379)","('Nadam', 0.1)","('Nadam', 0.31622776601683794)","('Ftrl', 0.001)","('Ftrl', 0.0031622776601683794)","('Ftrl', 0.01)","('Ftrl', 0.03162277660168379)","('Ftrl', 0.1)","('Ftrl', 0.31622776601683794)"
TrainLoss,0.055760324001312256,0.035704050213098526,0.025157853960990906,0.04775967448949814,2.3048908710479736,2.306675672531128,2.2869582176208496,2.219574213027954,0.4668736457824707,0.21277154982089996,0.08945602178573608,0.05305275321006775,2.22920823097229,0.5225345492362976,0.20365223288536072,0.09999517351388931,0.06401098519563675,2.3017165660858154,0.08303515613079071,0.02815951779484749,0.02140592411160469,0.17792147397994995,2.310197353363037,2.439201593399048,2.2959494590759277,2.2744321823120117,1.9667322635650635,0.35967376828193665,0.17849984765052795,0.10527167469263077,0.10003042966127396,0.059202324599027634,0.03208080679178238,0.03943270817399025,0.09438434988260269,2.302000045776367,0.1649216115474701,0.043456315994262695,0.18347400426864624,2.301466464996338,2.3104095458984375,2.307504892349243,2.302232265472412,2.3017330169677734,2.301239490509033,2.3011627197265625,2.3011789321899414,2.3016114234924316
TrainAcc,0.982783317565918,0.9886000156402588,0.9915666580200195,0.9856833219528198,0.11236666887998581,0.10441666841506958,0.1286499947309494,0.36010000109672546,0.8557833433151245,0.933733344078064,0.9717000126838684,0.9833999872207642,0.33988332748413086,0.8529166579246521,0.9375,0.9696000218391418,0.9801999926567078,0.11236666887998581,0.9734333157539368,0.9909166693687439,0.9929999709129333,0.9511833190917969,0.09871666878461838,0.09736666828393936,0.09661666303873062,0.15743333101272583,0.5947833061218262,0.8936833143234253,0.9448500275611877,0.9674999713897705,0.9707666635513306,0.9824833273887634,0.9904166460037231,0.9872666597366333,0.9690499901771545,0.11236666887998581,0.9439499974250793,0.9864500164985657,0.9442333579063416,0.11236666887998581,0.11236666887998581,0.09929999709129333,0.11236666887998581,0.11236666887998581,0.11236666887998581,0.11236666887998581,0.11236666887998581,0.11236666887998581
TestLoss,0.051940422505140305,0.04306434094905853,0.03926939517259598,0.07513990253210068,2.3051810264587402,2.305540084838867,2.286515235900879,2.2180898189544678,0.4508274793624878,0.1978616714477539,0.08266996592283249,0.054538458585739136,2.2279114723205566,0.5012947916984558,0.19027934968471527,0.08706383407115936,0.06006116420030594,2.302013397216797,0.08427853882312775,0.04272995889186859,0.0410022996366024,0.18874497711658478,2.3105602264404297,2.4384360313415527,2.295811414718628,2.2739064693450928,1.9602069854736328,0.3444841206073761,0.1727318912744522,0.09601860493421555,0.09406320750713348,0.058820612728595734,0.03654331713914871,0.05451434850692749,0.12475716322660446,2.301745653152466,0.16646650433540344,0.05139775946736336,0.2195989042520523,2.301352024078369,2.309222459793091,2.306659460067749,2.3022146224975586,2.301687002182007,2.301133871078491,2.301027297973633,2.3010413646698,2.301694631576538
TestAcc,0.9830999970436096,0.9865999817848206,0.9886999726295471,0.9793000221252441,0.11349999904632568,0.10279999673366547,0.131400004029274,0.36320000886917114,0.8633000254631042,0.9395999908447266,0.974399983882904,0.9822999835014343,0.34619998931884766,0.8636999726295471,0.9405999779701233,0.9728000164031982,0.9801999926567078,0.11349999904632568,0.9731000065803528,0.9876999855041504,0.9878000020980835,0.9509999752044678,0.09799999743700027,0.0982000008225441,0.0989999994635582,0.15889999270439148,0.6032000184059143,0.8992000222206116,0.9463000297546387,0.9689000248908997,0.972100019454956,0.9796000123023987,0.988099992275238,0.9829999804496765,0.9642000198364258,0.11349999904632568,0.9438999891281128,0.9828000068664551,0.9373999834060669,0.11349999904632568,0.11349999904632568,0.10320000350475311,0.11349999904632568,0.11349999904632568,0.11349999904632568,0.11349999904632568,0.11349999904632568,0.11349999904632568
